feature_index,feature_name,logistic_weight,rf_importance,shap_mean,logistic_rank,rf_rank,shap_rank
604,clip_dim_604,-0.258002038161191,0.0017605577291730308,0.0,661,123,2
605,clip_dim_605,0.03939992235744166,0.000316303657291782,0.0,353,708,2
606,clip_dim_606,-0.3879632593761317,0.0023041199818827902,0.0,720,89,2
607,clip_dim_607,-0.21778625229257056,0.0006174296288514308,0.0,633,475,2
608,clip_dim_608,0.16503724611485018,0.0006797807010397194,0.0,205,426,2
609,clip_dim_609,0.284821239899865,0.001587410904092871,0.0,102,138,2
610,clip_dim_610,0.16521937735266318,0.00039795817429544663,0.0,204,649,2
601,clip_dim_601,-0.25055517942078503,0.0008508623308281991,0.0,657,319,2
611,clip_dim_611,0.17889173408257547,0.0006545565577644277,0.0,185,447,2
613,clip_dim_613,0.0839052561575487,0.0002275763218399638,0.0,297,753,2
614,clip_dim_614,0.5087747708687368,0.0027349327363982196,0.0,18,73,2
615,clip_dim_615,0.04624869069704379,0.000511978528159601,0.0,344,557,2
616,clip_dim_616,-0.23504591754078122,0.0005449740118088029,0.0,652,531,2
617,clip_dim_617,0.11198200182488229,0.0006331028088134155,0.0,266,465,2
618,clip_dim_618,-0.020990633003615478,0.0002791038452474257,0.0,436,731,2
619,clip_dim_619,-0.091383446960447,0.00046876106143240435,0.0,500,592,2
620,clip_dim_620,-0.0035267550130265914,0.0006836744099016867,0.0,412,424,2
621,clip_dim_621,-0.17734964623599955,0.0004411658738986545,0.0,596,615,2
612,clip_dim_612,0.4665140179033791,0.004468430671849411,0.0,26,34,2
622,clip_dim_622,0.0930636825246852,0.0008347602744613098,0.0,288,327,2
600,clip_dim_600,-0.07005553524805203,0.0005516236100068017,0.0,476,527,2
598,clip_dim_598,-0.12365779936209065,0.0010509611137532184,0.0,534,247,2
578,clip_dim_578,-0.2717811040185395,0.0011303640631743401,0.0,669,218,2
579,clip_dim_579,0.31184780495277464,0.0005677677998650076,0.0,80,514,2
580,clip_dim_580,0.035400495216840154,0.00042602107890342823,0.0,359,628,2
581,clip_dim_581,-0.4743591731121872,0.0007767091415125378,0.0,738,352,2
582,clip_dim_582,0.23609337043395887,0.000746939463286336,0.0,130,371,2
583,clip_dim_583,0.23980306886825506,0.0011318189253440311,0.0,125,217,2
584,clip_dim_584,0.4488472755906867,0.006984924830788588,0.0,30,17,2
585,clip_dim_585,0.08607091411563732,4.574681678399877e-05,0.0,295,768,2
586,clip_dim_586,0.4127848046085262,0.004682375205618794,0.0,42,32,2
599,clip_dim_599,-0.389864842922466,0.0008702559998009704,0.0,721,307,2
587,clip_dim_587,0.027127901165111795,0.000691832688038418,0.0,373,413,2
589,clip_dim_589,0.18680918008002062,0.001173641029179877,0.0,176,203,2
590,clip_dim_590,-0.19896836411823202,0.0012782671818303796,0.0,613,181,2
591,clip_dim_591,0.17130318005899559,0.0006946271561179061,0.0,194,412,2
592,clip_dim_592,-0.874185786837091,0.0075790417082319895,0.0,767,13,2
593,clip_dim_593,0.05412716169289538,0.00031433861675518663,0.0,331,710,2
594,clip_dim_594,-0.20055909348706408,0.00028434035417102454,0.0,615,725,2
595,clip_dim_595,-0.028803967244356753,0.0005122736402480117,0.0,446,556,2
596,clip_dim_596,0.04006742948400198,0.0005002125364578184,0.0,351,568,2
597,clip_dim_597,-0.21854578651273593,0.0011374890894620226,0.0,635,213,2
588,clip_dim_588,0.19376159451848313,0.00045003554569124224,0.0,167,606,2
671,clip_dim_671,0.16114540407006903,0.0008640279343005395,0.0,210,311,2
623,clip_dim_623,0.0032231408519563798,0.0004199208904847724,0.0,401,634,2
